FulfillmentCenter,Location,Country,SquareFeet,YearOpened,Description of Operation
ACY5,"2277 Center Square Rd, Swedesboro, Logan Township, New Jersey, 08085",,"202,900", October2014,Sortation Center
 ,"2 Empire Boulevard, Moonachie, New Jersey,07074",,"75,000",May-15,Prime Now Hub
JFK7,"7 W. 34th St., New York, New York, 10001-8100",,"50,000",December2014 ,Prime Now Hub
CLT5,"1745 Derita Rd, Concord, North Carolina, 28027-3353",,"222,500", Fall2014,Sortation Center360 associates
UNC1,"Charlotte, North Carolina",, ,2015,Prime Now Hub
UNC2,"Raleigh, North Carolina",, ,2015,Prime Now Hub
CMH1,"Etna Township Park near I70, Etna, Licking County, Ohio, 43062",,"855,000",Q4 2016,New FC announced for Ohio will employ 1500 associatesEstimated investment of $90 Million
LCK1,"Rickenbacker Global Logistics Park,,Alum Creek Drive near I270, Obetz, Ohio, 43207",,"1,000,000",Q3 2016,New FC announced for Ohio will employ 500 associates
UOH1,"Cincinnati, Ohio ",, ,Feb-16,Prime Now Hub
UOH2,"Columbus, Ohio",, ,Feb-16,Prime Now Hub
UOR1,"Portland, Oregon",, ,2015,Prime Now Hub
PHL4,"21 Roadway Drive, Carlisle, Pennsylvania, 17015",,"558,700",Sep-10,Non-Sortable
PHL5,"500 McCarthy Dr., Lewisberry, Pennsylvania, 17339-8725",,"750,000",Aug-10,Non-Sortable
PHL6,"675 Allen Rd. , Carlisle, Pennsylvania, 17015",,"1,206,500",Aug-10,Non-Sortable
MDT1,"2 Ames Drive, Building #2, Carlisle, Pennsylvania, 17015",,"750,000","January,2015",Non-Sortable
AVP1,"550 Oak Ridge Road, Hazleton, Pennsylvania, 18202-9361",,"615,600",July 2008,Redistribution Center
AVP3,"298 1st Avenue, Gouldsboro, Pennsylvania, 18424-9464",,"1,250,000",November 2010,"Diaper.com fulfillment center that was owned by Quidsi Inc. which Amazon acquired in November, 2010"
AVP6,"1 Commerce Road, Pittston, Pennsylvania, 18640",,"437,440",Q4 2015, 
ABE2,"705 Boulder Drive, Breinigsville, Pennsylvania, 18031",,"600,000",Jul-10,Big Sortable
ABE3,"650 Boulder Drive, Breinigsville, Pennsylvania, 18031",,"997,400",June 2011, 
ABE5,"6455 Allentown Boulevard, Harrisburg, Pennsylvania, 17112",,"200,000", , 
XUSC,"40 Logistics Drive, Carlisle, Pennsylvania, 17013",,"421,200",May-13,"Large nonsortable (e.g. canoes, fishing rods)Fulfillment center is outsourced to 3PL Menlo Logistics"
PIT5,"2250 Roswell Drive, Pittsburgh, Pennsylvania, 15205-1800",,"250,000",Oct-14,Sortation center opened in 2014 to service the PA fulfillment centers
CAE1,"4400 12 Street Extension, West Columbia, South Carolina, 29172-3300 ",,"1,250,000",Oct-11,"Ships in excess of 50,000 packages per day"
GSP1,"402 John Dodd Road, Spartanburg, South Carolina, 29303-6312",,"1,016,100",September 2012,"1,800 associates"
CHA1,"7200 Volkswagon Drive, Chattanooga, Tennessee, 37416-1749 ",,"1,000,000",Sep-11,"Big Sortable1,700 associates"
CHA2,"225 Infinity Dr NW, Charleston, Tennessee, 37310-1400",,"1,200,000",Sep-11,"Stores coffee makers, lawn tractors, barbecue grills, and water heaters along with bulk items"
BNA1,"14840 Central Pike, Lebanon, Tennessee, 37090-8119",,"449,000",Sep-11, 
BNA2,"500 Duke Dr, Lebanon, Tennessee, 37087-8123",,"1,000,000",October 2012,Larger non-sortable items
BNA3,"2020 Joe B Jackson Pkwy, Murfreesboro, Tennessee, 37127-7792",,"1,000,000",October 2012,Larger non-sortable items
BNA5UTN1,"50 Airways Blvd. , Nashville, Tennessee, 37217-2516",,"214,000",Oct-14,This is a sortation center to service the fulfillment centers in TennesseeAlso a Prime Now Hub
DFW6,"940 W. Bethel Road , Coppell, Texas, 75019-4424",,"1,000,000",Oct-13,"Larger items such as televisions, furniture and electronics."
DFW7,"700 Westport Parkway, Fort Worth, Texas, 76177-4513",,"1,100,000",Oct-13,"Facility budgeted at $100 Million.Ships smaller items like books, small electronics and DVDs."
DFW8,"2700 Regent Blvd, Dallas, Texas, 75063",,"428,500",Mar-14,Sortation Center to service Dallas/Fort Worth market
FTW1,"33333 Lyndon B Johnson Freeway, Dallas, Texas, 75241-7203",,"500,000",Oct-15,Small sortable fulfillment and/or redistribution center to employ 500 and 900 people.
XUSB,"14900 Frye Road, Fort Worth, Texas, 76155",,"495,000", ,"Large nonsortable (e.g. canoes, fishing rods)Fulfillment center is outsourced to 3PL Menlo Logistics"
DDC1,12401 North Stemmons Fwy Farmers Branch Texas 75234 ,,"183,040",2015,Amazon.Fresh Delivery Station
HOU1,"8120 Humble Westfield Rd, Humble, Texas, 77338-4142",,"240,000",Jun-14,Sortation Center to service Houston market
SAT1,"6000 Enterprise Avenue,  Schertz, TX 78154-1461",,"1,260,000","October,2013","Schertz is nearby San Antonio, TX. Facility budgeted at $166 Million."
SAT5,"1410 S. Callaghan Road, San Antonio, TX, 78227",,"193,900","October,2015",Sortation Center to service San Antonio market
 ,"1300 East McCarty Lane, San Marcos, Texas, 78666",,"855,000",Q12017,Facility budgeted at $19 Million.
UTX1,"Irving, Texas, 75014",, ,2015,Prime Now Hub
UTX2,"Austin, Texas, 73301",, ,Apr-15,Prime Now Hub
UTX3,"Houston, Texas, 77001",, ,October 2015,Prime Now Hub
UTX4,"Dallas, Texas",, ,November 2015,Prime Now Hub
UTX5,"San Antonio, Texas",, ,November 2015,Prime Now Hub
RIC1,"5000 Commerce Way, Petersburg, Virginia, 23803-6917",,"1,100,000",October 2012,Ships larger packages that range from electronics and sports equipment to small kitchen appliances and toys500 associates 
RIC2RIC3,"1901 Meadowville Technology Parkway, Chester, Virginia, 23836-2841",,"1,200,000","October, 2012","RIC2 Ships auto parts, consumer electronics,office supplies, books, etc.RIC3 is a sortation center within the building1500  associates"
BFI1,"1800 140th Avenue E., Sumner, Washington, 98390",,"492,000",Jun-11, 
 ,"5617 Industrial Dr, Springfield, Virginia 22151 ",,"387,130", ,Most Likely a sortation center
SEA6SEA8,"1227 124th Avenue Northeast, Bellevue, Washington, 98005-2111",,"313,300(1)",Aug-07,SEA6: Amazon Dry fulfillment centerSEA8: Amazon Fresh fulfillment center with perishables and frozen foods
BFI3,"2700 Center Drive, DuPont, Washington, 98327-9607",,"1,000,000",Aug-14,Ships larger items such as canoes and televisions.  KIVA automation.Facility cost $100 Million.
BFI4,"21005 64th Ave. S, Kent, Washington, 98032-2423",,"1,000,000",Q12016,"Small sortable FC:  books, electronics and consumer goods"
BFI5,"20526 59th Place South, Kent, Washington, 98032",,"318,200",Jul-14,Sortation Center to service the greater Seattle / Portland market
UWA1,"11710 118th Ave. N.E. , Building B, Kirkland, Washington, 98034",,"38,300",2015,Prime Now Hub / Amazon Flex
UWA2,"13537 Aurora Ave. N., North Seattle, Washington, 98133",,"38,400",2015,Prime Now Hub
UWA3,"2121 8th Ave., Seattle, Washington, 98121",,"18,900",2015,Prime Now Hub
DSE2,"6705 E Marginal Way, Seattle, Washington, 98108 ",,"26,200",2015,Amazon.Fresh Delivery Station
MKE1,"3501 120th Ave, Kenosha, Wisconsin, 53144-7502",,"1,100,000",Jun-15,Small Sortable facility employs up to 2500 people.$155 Million investment
MKE5,"11211 Burlington Road, Kenosha, Wisconsin, 53144-7449",,"500,000",Dec-14,Sortation center with up to 500 people
 ,"3935 W. Mitchell St., Milwaukee, Wisconsin, 53125",,"49,950",Feb-16,Prime Now Hub
YYZ1,"6363 Millcreek Drive, Mississauga, Ontario, Canada, L5N 1L8",,"501,700",Feb-11,Fulfillment operations in Canada were originally outsourced to a 3PL in June 2002.Amazon Canada Fulfillment Services Inc. was later launched in March 2011 in a former Loblaws/National Grocers building.
YYZ2,"2750 Peddie Road, Milton, Ontario, Canada, L9T 6Y9",,"375,240",Oct-13,Amazon newest fulfillment center in Canada will have 100 associates.
YYZ3,"7995 Winston Churchill Boulevard, Brampton, Ontario, L6Y 0B2",,"521,620",Oct-13,Amazon leased this space in Q4 2013
YVR2,"450 Derwent Place, Delta, British Columbia, Canada, V3M 6H4",,"193,500","November, 2012",Amazon’s second fulfillment center in Canada is on Annacis Island (South of Vancouver) 
YVR3,"109 Braid St, New Westminster, British Columbia, Canada, V3L 5H4",,"689,500",Jul-15,Amazon’s third  fulfillment center in Canada
MEX1,"Cuautitlán Izcalli, Estado de México, México",,TBD,Planned for Q3 2015,Amazon’s first Mexican fulfillment center is expected in late 2015 according to reports out of Mexico
